Torque,RPM,Current
0,0,0
45,0,42.0
44,0,39.6
43,0,37.4
42,0,35.3
41,0,33.2
40,0,31.3
39,0,29.5
38,0,27.8
37,0,26.1
36,0,24.6
35,0,23.1
34,0,21.6
33,0,20.3
32,0,19.0
31,0,17.7
30,0,16.6
29,0,15.4
28,0,14.3
27,0,13.3
26,0,12.3
25,0,11.4
24,0,10.5
23,0,9.7
22,0,8.9
21,0,8.1
20,0,7.4
19,0,6.7
18,0,6.1
17,0,5.4
16,0,4.9
15,0,4.3
14,0,3.8
13,0,3.3
12,0,2.9
11,0,2.5
10,0,2.1
9,0,1.7
8,0,1.4
7,0,1.1
6,0,0.9
5,0,0.6
4,0,0.4
3,0,0.2
2,0,0.1
1,0,0.0
45,100,53.2
44,100,50.5
43,100,48.0
42,100,45.6
41,100,43.2
40,100,41.0
39,100,38.9
38,100,36.9
37,100,35.0
36,100,33.1
35,100,31.4
34,100,29.7
33,100,28.1
32,100,26.5
31,100,25.0
30,100,23.6
29,100,22.2
28,100,20.9
27,100,19.6
26,100,18.4
25,100,17.2
24,100,16.1
23,100,15.0
22,100,13.9
21,100,12.9
20,100,12.0
19,100,11.1
18,100,10.2
17,100,9.3
16,100,8.5
15,100,7.8
14,100,7.0
13,100,6.3
12,100,5.6
11,100,5.0
10,100,4.4
9,100,3.8
8,100,3.3
7,100,2.7
6,100,2.3
5,100,1.8
4,100,1.4
3,100,1.0
2,100,0.6
1,100,0.3
45,200,62.6
44,200,59.8
43,200,57.0
42,200,54.4
41,200,51.8
40,200,49.4
39,200,47.1
38,200,44.9
37,200,42.7
36,200,40.7
35,200,38.7
34,200,36.8
33,200,35.0
32,200,33.2
31,200,31.5
30,200,29.9
29,200,28.3
28,200,26.8
27,200,25.3
26,200,23.8
25,200,22.5
24,200,21.1
23,200,19.8
22,200,18.6
21,200,17.4
20,200,16.2
19,200,15.1
18,200,14.0
17,200,12.9
16,200,11.9
15,200,10.9
14,200,10.0
13,200,9.1
12,200,8.2
11,200,7.3
10,200,6.5
9,200,5.7
8,200,5.0
7,200,4.3
6,200,3.6
5,200,2.9
4,200,2.3
3,200,1.7
2,200,1.1
1,200,0.6
45,300,72.1
44,300,69.0
43,300,66.0
42,300,63.2
41,300,60.4
40,300,57.8
39,300,55.3
38,300,52.8
37,300,50.5
36,300,48.2
35,300,46.1
34,300,44.0
33,300,41.9
32,300,39.9
31,300,38.0
30,300,36.2
29,300,34.4
28,300,32.6
27,300,31.0
26,300,29.3
25,300,27.7
24,300,26.2
23,300,24.7
22,300,23.2
21,300,21.8
20,300,20.4
19,300,19.1
18,300,17.8
17,300,16.5
16,300,15.3
15,300,14.1
14,300,13.0
13,300,11.8
12,300,10.8
11,300,9.7
10,300,8.7
9,300,7.7
8,300,6.7
7,300,5.8
6,300,4.9
5,300,4.0
4,300,3.2
3,300,2.3
2,300,1.6
1,300,0.8
45,300,72.1
44,300,69.0
43,300,66.0
42,300,63.2
41,300,60.4
40,300,57.8
39,300,55.3
38,300,52.8
37,300,50.5
36,300,48.2
35,300,46.1
34,300,44.0
33,300,41.9
32,300,39.9
31,300,38.0
30,300,36.2
29,300,34.4
28,300,32.6
27,300,31.0
26,300,29.3
25,300,27.7
24,300,26.2
23,300,24.7
22,300,23.2
21,300,21.8
20,300,20.4
19,300,19.1
18,300,17.8
17,300,16.5
16,300,15.3
15,300,14.1
14,300,13.0
13,300,11.8
12,300,10.8
11,300,9.7
10,300,8.7
9,300,7.7
8,300,6.7
7,300,5.8
6,300,4.9
5,300,4.0
4,300,3.2
3,300,2.3
2,300,1.6
1,300,0.8
45,400,81.5
44,400,78.2
43,400,75.0
42,400,72.0
41,400,69.0
40,400,66.2
39,400,63.5
38,400,60.8
37,400,58.3
36,400,55.8
35,400,53.4
34,400,51.1
33,400,48.8
32,400,46.7
31,400,44.5
30,400,42.5
29,400,40.5
28,400,38.5
27,400,36.6
26,400,34.8
25,400,33.0
24,400,31.2
23,400,29.5
22,400,27.9
21,400,26.2
20,400,24.7
19,400,23.1
18,400,21.6
17,400,20.1
16,400,18.7
15,400,17.3
14,400,16.0
13,400,14.6
12,400,13.3
11,400,12.1
10,400,10.8
9,400,9.6
8,400,8.4
7,400,7.3
6,400,6.2
5,400,5.1
4,400,4.0
3,400,3.0
2,400,2.0
1,400,1.1
45,500,91.0
44,500,87.4
43,500,84.1
42,500,80.8
41,500,77.6
40,500,74.6
39,500,71.7
38,500,68.8
37,500,66.0
36,500,63.4
35,500,60.8
34,500,58.2
33,500,55.8
32,500,53.4
31,500,51.1
30,500,48.8
29,500,46.6
28,500,44.4
27,500,42.3
26,500,40.3
25,500,38.3
24,500,36.3
23,500,34.4
22,500,32.5
21,500,30.7
20,500,28.9
19,500,27.1
18,500,25.4
17,500,23.8
16,500,22.1
15,500,20.5
14,500,18.9
13,500,17.4
12,500,15.9
11,500,14.4
10,500,13.0
9,500,11.6
8,500,10.2
7,500,8.8
6,500,7.5
5,500,6.2
4,500,4.9
3,500,3.7
2,500,2.5
1,500,1.3
45,600,100.4
44,600,96.7
43,600,93.1
42,600,89.6
41,600,86.2
40,600,83.0
39,600,79.8
38,600,76.8
37,600,73.8
36,600,70.9
35,600,68.1
34,600,65.4
33,600,62.7
32,600,60.1
31,600,57.6
30,600,55.1
29,600,52.7
28,600,50.3
27,600,48.0
26,600,45.8
25,600,43.5
24,600,41.4
23,600,39.3
22,600,37.2
21,600,35.1
20,600,33.1
19,600,31.2
18,600,29.3
17,600,27.4
16,600,25.5
15,600,23.7
14,600,21.9
13,600,20.2
12,600,18.5
11,600,16.8
10,600,15.1
9,600,13.5
8,600,11.9
7,600,10.4
6,600,8.8
5,600,7.3
4,600,5.8
3,600,4.4
2,600,3.0
1,600,1.6
45,700,109.9
44,700,105.9
43,700,102.1
42,700,98.4
41,700,94.9
40,700,91.4
39,700,88.0
38,700,84.8
37,700,81.6
36,700,78.5
35,700,75.5
34,700,72.6
33,700,69.7
32,700,66.9
31,700,64.1
30,700,61.4
29,700,58.8
28,700,56.2
27,700,53.7
26,700,51.2
25,700,48.8
24,700,46.4
23,700,44.1
22,700,41.8
21,700,39.6
20,700,37.4
19,700,35.2
18,700,33.1
17,700,31.0
16,700,28.9
15,700,26.9
14,700,24.9
13,700,23.0
12,700,21.0
11,700,19.1
10,700,17.3
9,700,15.5
8,700,13.7
7,700,11.9
6,700,10.1
5,700,8.4
4,700,6.7
3,700,5.1
2,700,3.5
1,700,1.9
45,800,119.3
44,800,115.2
43,800,111.2
42,800,107.3
41,800,103.5
40,800,99.8
39,800,96.3
38,800,92.8
37,800,89.4
36,800,86.1
35,800,82.9
34,800,79.7
33,800,76.6
32,800,73.6
31,800,70.7
30,800,67.8
29,800,64.9
28,800,62.1
27,800,59.4
26,800,56.7
25,800,54.1
24,800,51.5
23,800,49.0
22,800,46.5
21,800,44.0
20,800,41.6
19,800,39.2
18,800,36.9
17,800,34.6
16,800,32.3
15,800,30.1
14,800,27.9
13,800,25.7
12,800,23.6
11,800,21.5
10,800,19.4
9,800,17.4
8,800,15.4
7,800,13.4
6,800,11.5
5,800,9.5
4,800,7.6
3,800,5.8
2,800,3.9
1,800,2.1
45,900,128.8
44,900,124.4
43,900,120.2
42,900,116.1
41,900,112.1
40,900,108.2
39,900,104.5
38,900,100.8
37,900,97.2
36,900,93.7
35,900,90.2
34,900,86.9
33,900,83.6
32,900,80.4
31,900,77.2
30,900,74.1
29,900,71.0
28,900,68.1
27,900,65.1
26,900,62.2
25,900,59.4
24,900,56.6
23,900,53.9
22,900,51.1
21,900,48.5
20,900,45.9
19,900,43.3
18,900,40.7
17,900,38.2
16,900,35.7
15,900,33.3
14,900,30.9
13,900,28.5
12,900,26.2
11,900,23.9
10,900,21.6
9,900,19.4
8,900,17.1
7,900,14.9
6,900,12.8
5,900,10.6
4,900,8.5
3,900,6.5
2,900,4.4
1,900,2.4
45,1000,0.0
44,1000,0.0
43,1000,129.2
42,1000,124.9
41,1000,120.7
40,1000,116.7
39,1000,112.7
38,1000,108.8
37,1000,105.0
36,1000,101.3
35,1000,97.6
34,1000,94.0
33,1000,90.5
32,1000,87.1
31,1000,83.7
30,1000,80.4
29,1000,77.2
28,1000,74.0
27,1000,70.8
26,1000,67.7
25,1000,64.7
24,1000,61.7
23,1000,58.7
22,1000,55.8
21,1000,52.9
20,1000,50.1
19,1000,47.3
18,1000,44.6
17,1000,41.8
16,1000,39.2
15,1000,36.5
14,1000,33.9
13,1000,31.3
12,1000,28.8
11,1000,26.2
10,1000,23.8
9,1000,21.3
8,1000,18.9
7,1000,16.5
6,1000,14.1
5,1000,11.8
4,1000,9.4
3,1000,7.1
2,1000,4.9
1,1000,2.7
45,1100,0.0
44,1100,0.0
43,1100,0.0
42,1100,0.0
41,1100,129.4
40,1100,125.1
39,1100,120.9
38,1100,116.8
37,1100,112.8
36,1100,108.8
35,1100,105.0
34,1100,101.2
33,1100,97.5
32,1100,93.9
31,1100,90.3
30,1100,86.8
29,1100,83.3
28,1100,79.9
27,1100,76.5
26,1100,73.2
25,1100,70.0
24,1100,66.8
23,1100,63.6
22,1100,60.5
21,1100,57.4
20,1100,54.4
19,1100,51.4
18,1100,48.4
17,1100,45.5
16,1100,42.6
15,1100,39.7
14,1100,36.9
13,1100,34.1
12,1100,31.4
11,1100,28.6
10,1100,25.9
9,1100,23.3
8,1100,20.6
7,1100,18.0
6,1100,15.4
5,1100,12.9
4,1100,10.3
3,1100,7.8
2,1100,5.4
1,1100,2.9
45,1200,0.0
44,1200,0.0
43,1200,0.0
42,1200,0.0
41,1200,0.0
40,1200,0.0
39,1200,129.1
38,1200,124.8
37,1200,120.6
36,1200,116.4
35,1200,112.4
34,1200,108.4
33,1200,104.5
32,1200,100.6
31,1200,96.8
30,1200,93.1
29,1200,89.4
28,1200,85.8
27,1200,82.3
26,1200,78.7
25,1200,75.3
24,1200,71.9
23,1200,68.5
22,1200,65.2
21,1200,61.9
20,1200,58.6
19,1200,55.4
18,1200,52.2
17,1200,49.1
16,1200,46.0
15,1200,42.9
14,1200,39.9
13,1200,36.9
12,1200,33.9
11,1200,31.0
10,1200,28.1
9,1200,25.2
8,1200,22.4
7,1200,19.6
6,1200,16.8
5,1200,14.0
4,1200,11.3
3,1200,8.5
2,1200,5.9
1,1200,3.2
45,1300,0.0
44,1300,0.0
43,1300,0.0
42,1300,0.0
41,1300,0.0
40,1300,0.0
39,1300,0.0
38,1300,0.0
37,1300,128.4
36,1300,124.0
35,1300,119.8
34,1300,115.6
33,1300,111.4
32,1300,107.4
31,1300,103.4
30,1300,99.4
29,1300,95.6
28,1300,91.7
27,1300,88.0
26,1300,84.3
25,1300,80.6
24,1300,77.0
23,1300,73.4
22,1300,69.8
21,1300,66.3
20,1300,62.9
19,1300,59.5
18,1300,56.1
17,1300,52.7
16,1300,49.4
15,1300,46.1
14,1300,42.9
13,1300,39.7
12,1300,36.5
11,1300,33.4
10,1300,30.3
9,1300,27.2
8,1300,24.1
7,1300,21.1
6,1300,18.1
5,1300,15.1
4,1300,12.2
3,1300,9.2
2,1300,6.3
1,1300,3.5
45,1400,0.0
44,1400,0.0
43,1400,0.0
42,1400,0.0
41,1400,0.0
40,1400,0.0
39,1400,0.0
38,1400,0.0
37,1400,0.0
36,1400,0.0
35,1400,127.2
34,1400,122.8
33,1400,118.4
32,1400,114.1
31,1400,109.9
30,1400,105.8
29,1400,101.7
28,1400,97.7
27,1400,93.7
26,1400,89.8
25,1400,85.9
24,1400,82.0
23,1400,78.3
22,1400,74.5
21,1400,70.8
20,1400,67.1
19,1400,63.5
18,1400,59.9
17,1400,56.4
16,1400,52.8
15,1400,49.4
14,1400,45.9
13,1400,42.5
12,1400,39.1
11,1400,35.8
10,1400,32.4
9,1400,29.1
8,1400,25.9
7,1400,22.6
6,1400,19.4
5,1400,16.2
4,1400,13.1
3,1400,9.9
2,1400,6.8
1,1400,3.8
45,1400,0.0
44,1400,0.0
43,1400,0.0
42,1400,0.0
41,1400,0.0
40,1400,0.0
39,1400,0.0
38,1400,0.0
37,1400,0.0
36,1400,0.0
35,1400,127.2
34,1400,122.8
33,1400,118.4
32,1400,114.1
31,1400,109.9
30,1400,105.8
29,1400,101.7
28,1400,97.7
27,1400,93.7
26,1400,89.8
25,1400,85.9
24,1400,82.0
23,1400,78.3
22,1400,74.5
21,1400,70.8
20,1400,67.1
19,1400,63.5
18,1400,59.9
17,1400,56.4
16,1400,52.8
15,1400,49.4
14,1400,45.9
13,1400,42.5
12,1400,39.1
11,1400,35.8
10,1400,32.4
9,1400,29.1
8,1400,25.9
7,1400,22.6
6,1400,19.4
5,1400,16.2
4,1400,13.1
3,1400,9.9
2,1400,6.8
1,1400,3.8
45,1400,0.0
44,1400,0.0
43,1400,0.0
42,1400,0.0
41,1400,0.0
40,1400,0.0
39,1400,0.0
38,1400,0.0
37,1400,0.0
36,1400,0.0
35,1400,127.2
34,1400,122.8
33,1400,118.4
32,1400,114.1
31,1400,109.9
30,1400,105.8
29,1400,101.7
28,1400,97.7
27,1400,93.7
26,1400,89.8
25,1400,85.9
24,1400,82.0
23,1400,78.3
22,1400,74.5
21,1400,70.8
20,1400,67.1
19,1400,63.5
18,1400,59.9
17,1400,56.4
16,1400,52.8
15,1400,49.4
14,1400,45.9
13,1400,42.5
12,1400,39.1
11,1400,35.8
10,1400,32.4
9,1400,29.1
8,1400,25.9
7,1400,22.6
6,1400,19.4
5,1400,16.2
4,1400,13.1
3,1400,9.9
2,1400,6.8
1,1400,3.8
45,1500,0.0
44,1500,0.0
43,1500,0.0
42,1500,0.0
41,1500,0.0
40,1500,0.0
39,1500,0.0
38,1500,0.0
37,1500,0.0
36,1500,0.0
35,1500,0.0
34,1500,129.9
33,1500,125.4
32,1500,120.9
31,1500,116.5
30,1500,112.1
29,1500,107.9
28,1500,103.6
27,1500,99.4
26,1500,95.3
25,1500,91.2
24,1500,87.1
23,1500,83.1
22,1500,79.2
21,1500,75.3
20,1500,71.4
19,1500,67.6
18,1500,63.8
17,1500,60.0
16,1500,56.3
15,1500,52.6
14,1500,48.9
13,1500,45.3
12,1500,41.7
11,1500,38.1
10,1500,34.6
9,1500,31.1
8,1500,27.6
7,1500,24.2
6,1500,20.8
5,1500,17.4
4,1500,14.0
3,1500,10.6
2,1500,7.3
1,1500,4.0
45,1600,0.0
44,1600,0.0
43,1600,0.0
42,1600,0.0
41,1600,0.0
40,1600,0.0
39,1600,0.0
38,1600,0.0
37,1600,0.0
36,1600,0.0
35,1600,0.0
34,1600,0.0
33,1600,0.0
32,1600,127.7
31,1600,123.1
30,1600,118.5
29,1600,114.0
28,1600,109.5
27,1600,105.2
26,1600,100.8
25,1600,96.5
24,1600,92.2
23,1600,88.0
22,1600,83.9
21,1600,79.7
20,1600,75.7
19,1600,71.6
18,1600,67.6
17,1600,63.6
16,1600,59.7
15,1600,55.8
14,1600,51.9
13,1600,48.1
12,1600,44.3
11,1600,40.5
10,1600,36.8
9,1600,33.1
8,1600,29.4
7,1600,25.7
6,1600,22.1
5,1600,18.5
4,1600,14.9
3,1600,11.3
2,1600,7.8
1,1600,4.3
45,1600,0.0
44,1600,0.0
43,1600,0.0
42,1600,0.0
41,1600,0.0
40,1600,0.0
39,1600,0.0
38,1600,0.0
37,1600,0.0
36,1600,0.0
35,1600,0.0
34,1600,0.0
33,1600,0.0
32,1600,127.7
31,1600,123.1
30,1600,118.5
29,1600,114.0
28,1600,109.5
27,1600,105.2
26,1600,100.8
25,1600,96.5
24,1600,92.2
23,1600,88.0
22,1600,83.9
21,1600,79.7
20,1600,75.7
19,1600,71.6
18,1600,67.6
17,1600,63.6
16,1600,59.7
15,1600,55.8
14,1600,51.9
13,1600,48.1
12,1600,44.3
11,1600,40.5
10,1600,36.8
9,1600,33.1
8,1600,29.4
7,1600,25.7
6,1600,22.1
5,1600,18.5
4,1600,14.9
3,1600,11.3
2,1600,7.8
1,1600,4.3
45,1700,0.0
44,1700,0.0
43,1700,0.0
42,1700,0.0
41,1700,0.0
40,1700,0.0
39,1700,0.0
38,1700,0.0
37,1700,0.0
36,1700,0.0
35,1700,0.0
34,1700,0.0
33,1700,0.0
32,1700,0.0
31,1700,129.6
30,1700,124.9
29,1700,120.2
28,1700,115.5
27,1700,110.9
26,1700,106.3
25,1700,101.8
24,1700,97.4
23,1700,92.9
22,1700,88.6
21,1700,84.2
20,1700,79.9
19,1700,75.7
18,1700,71.5
17,1700,67.3
16,1700,63.1
15,1700,59.0
14,1700,55.0
13,1700,50.9
12,1700,46.9
11,1700,42.9
10,1700,39.0
9,1700,35.0
8,1700,31.1
7,1700,27.3
6,1700,23.4
5,1700,19.6
4,1700,15.8
3,1700,12.0
2,1700,8.3
1,1700,4.6
45,1700,0.0
44,1700,0.0
43,1700,0.0
42,1700,0.0
41,1700,0.0
40,1700,0.0
39,1700,0.0
38,1700,0.0
37,1700,0.0
36,1700,0.0
35,1700,0.0
34,1700,0.0
33,1700,0.0
32,1700,0.0
31,1700,129.6
30,1700,124.9
29,1700,120.2
28,1700,115.5
27,1700,110.9
26,1700,106.3
25,1700,101.8
24,1700,97.4
23,1700,92.9
22,1700,88.6
21,1700,84.2
20,1700,79.9
19,1700,75.7
18,1700,71.5
17,1700,67.3
16,1700,63.1
15,1700,59.0
14,1700,55.0
13,1700,50.9
12,1700,46.9
11,1700,42.9
10,1700,39.0
9,1700,35.0
8,1700,31.1
7,1700,27.3
6,1700,23.4
5,1700,19.6
4,1700,15.8
3,1700,12.0
2,1700,8.3
1,1700,4.6
45,1800,0.0
44,1800,0.0
43,1800,0.0
42,1800,0.0
41,1800,0.0
40,1800,0.0
39,1800,0.0
38,1800,0.0
37,1800,0.0
36,1800,0.0
35,1800,0.0
34,1800,0.0
33,1800,0.0
32,1800,0.0
31,1800,0.0
30,1800,0.0
29,1800,126.3
28,1800,121.4
27,1800,116.6
26,1800,111.9
25,1800,107.1
24,1800,102.5
23,1800,97.8
22,1800,93.2
21,1800,88.7
20,1800,84.2
19,1800,79.7
18,1800,75.3
17,1800,70.9
16,1800,66.6
15,1800,62.3
14,1800,58.0
13,1800,53.7
12,1800,49.5
11,1800,45.3
10,1800,41.2
9,1800,37.0
8,1800,32.9
7,1800,28.8
6,1800,24.8
5,1800,20.7
4,1800,16.7
3,1800,12.7
2,1800,8.8
1,1800,4.9
45,1900,0.0
44,1900,0.0
43,1900,0.0
42,1900,0.0
41,1900,0.0
40,1900,0.0
39,1900,0.0
38,1900,0.0
37,1900,0.0
36,1900,0.0
35,1900,0.0
34,1900,0.0
33,1900,0.0
32,1900,0.0
31,1900,0.0
30,1900,0.0
29,1900,0.0
28,1900,127.4
27,1900,122.4
26,1900,117.4
25,1900,112.5
24,1900,107.6
23,1900,102.7
22,1900,97.9
21,1900,93.2
20,1900,88.5
19,1900,83.8
18,1900,79.2
17,1900,74.6
16,1900,70.0
15,1900,65.5
14,1900,61.0
13,1900,56.5
12,1900,52.1
11,1900,47.7
10,1900,43.3
9,1900,39.0
8,1900,34.7
7,1900,30.4
6,1900,26.1
5,1900,21.9
4,1900,17.6
3,1900,13.5
2,1900,9.3
1,1900,5.2
45,1900,0.0
44,1900,0.0
43,1900,0.0
42,1900,0.0
41,1900,0.0
40,1900,0.0
39,1900,0.0
38,1900,0.0
37,1900,0.0
36,1900,0.0
35,1900,0.0
34,1900,0.0
33,1900,0.0
32,1900,0.0
31,1900,0.0
30,1900,0.0
29,1900,0.0
28,1900,127.4
27,1900,122.4
26,1900,117.4
25,1900,112.5
24,1900,107.6
23,1900,102.7
22,1900,97.9
21,1900,93.2
20,1900,88.5
19,1900,83.8
18,1900,79.2
17,1900,74.6
16,1900,70.0
15,1900,65.5
14,1900,61.0
13,1900,56.5
12,1900,52.1
11,1900,47.7
10,1900,43.3
9,1900,39.0
8,1900,34.7
7,1900,30.4
6,1900,26.1
5,1900,21.9
4,1900,17.6
3,1900,13.5
2,1900,9.3
1,1900,5.2
45,2000,0.0
44,2000,0.0
43,2000,0.0
42,2000,0.0
