rpm,torque,efficiency
150.9622773,38.73015655,50
246.694573,38.73015655,50
136.234329,37.17813045,50
220.920488,37.38977148,50
231.9664843,35.76719568,50
231.9664843,33.58024786,50
209.8744917,31.95767206,50
187.7823586,29.62963023,50
184.1004067,28.78306883,50
173.0544103,28.00705578,50
162.0082736,25.96119928,50
147.2803253,24.55026451,50
143.5982329,23.35096941,50
136.234329,21.44620693,50
136.234329,30.9700153,50
154.6443697,33.36860684,50
150.9622773,35.90828701,50
121.5062403,28.57142915,50
176.7363623,34.77954161,50
128.8702847,19.9647265,50
346.1086802,38.37742286,60
353.4727246,37.38977148,60
331.380732,35.76719568,60
305.606647,34.49735223,60
301.924695,33.22751417,60
268.7865656,31.67548269,60
272.4685176,30.47619163,60
246.694573,28.57142915,60
224.6024399,26.9488547,60
224.6024399,25.46737157,60
213.5564436,24.0564368,60
206.1923993,22.64550203,60
198.8283549,21.02292758,60
184.1004067,19.47089879,60
158.3263216,17.70723032,60
132.5522366,16.57848358,60
452.8869723,38.16578453,74
589.1213013,38.23633153,74
743.765671,38.23633153,74
452.8869723,36.68430409,74
541.2552237,36.89594377,74
651.7154677,37.17813045,74
732.7195342,36.3315704,74
659.0793716,34.56790193,74
482.3430093,28.43033513,74
305.606647,21.51675528,74
364.5187209,25.32627756,74
493.3890056,27.37213405,74
585.4392089,33.58024786,74
508.1170943,34.7089946,74
600.1672976,35.83774269,74
423.4309353,35.0617283,74
460.2510166,33.15696716,74
666.4434159,33.08641746,74
828.45183,37.38977148,74
659.0793716,38.87125191,74
567.0291682,33.79188485,74
585.4392089,31.60493837,74
519.1630906,30.9700153,74
493.3890056,31.67548269,74
434.4769316,30.75837697,74
357.154817,28.28924112,74
463.9329686,29.98236392,74
526.5271349,29.98236392,74
438.1588836,27.58377373,74
353.4727246,26.73721233,74
423.4309353,26.38447864,74
379.2468096,24.47971885,74
338.7447763,23.63315744,74
401.3388022,23.49206343,74
441.840976,25.25573189,74
482.3430093,26.73721233,74
581.7572569,30.33509761,74
375.5648577,22.29276833,74
268.7865656,20.03527216,74
338.7447763,20.38800585,74
419.7488429,32.16931309,74
397.6568503,29.48853621,74
257.7405693,18.05996401,74
316.6526433,18.83597975,74
294.5606507,17.63668466,74
265.1046137,16.22574989,74
246.694573,14.53262708,74
235.6484362,15.30864282,74
206.1923993,13.26278094,74
173.0544103,11.99294557,74
158.3263216,10.65255646,74
132.5522366,9.029976625,74
128.8702847,6.913577157,74
128.8702847,5.220459736,74
128.8702847,3.245148901,74
4418.410041,2.96296087,74
4333.723741,2.751323883,74
4219.581264,2.892415208,74
4098.074884,2.892415208,74
3950.794558,2.892415208,74
3840.334314,2.751323883,74
3693.053989,2.821869545,74
3578.912074,2.821869545,74
3446.359556,2.96296087,74
3339.581545,3.033506532,74
386.610854,20.24691453,74
261.4225213,13.68606568,74
729.0375823,35.20281962,74
806.3596969,34.99118263,74
850.5438226,36.3315704,74
754.8116673,33.65079352,74
736.4016266,31.81657939,74
640.6693309,31.040565,74
673.8074603,29.91181557,74
596.4853457,28.92416284,74
603.8492496,27.51322807,74
555.9831719,26.45502699,74
519.1630906,25.11463788,74
486.0251017,24.0564368,74
456.5689242,22.36331669,74
382.9287616,18.34215205,74
342.4267283,16.50793523,74
213.5564436,10.37037112,74
195.146403,9.664903732,74
224.6024399,12.20457986,74
412.384939,21.6578493,74
301.924695,15.5202825,74
294.5606507,23.49206343,74
202.5104473,16.79011788,74
187.7823586,14.67371572,74
309.2885989,24.76190419,74
371.8827653,31.32274899,74
526.5271349,32.94532614,74
379.2468096,33.58024786,74
147.2803253,3.245148901,74
173.0544103,8.32451193,74
283.5146543,13.05114665,74
2338.075165,2.892415208,74
2452.21736,3.033506532,74
2676.8198,3.245148901,74
2883.012481,3.315694563,74
3074.476791,3.174603239,74
3188.618987,3.104057576,74
3269.623335,3.104057576,74
4153.305006,3.033506532,74
4002.343009,3.174603239,74
3777.740288,3.245148901,74
4252.719675,3.386240225,74
2964.016547,3.174603239,74
3004.51858,3.104057576,74
213.5564436,3.245148901,74
162.0082736,4.514992349,74
261.4225213,11.99294557,74
327.6986396,14.67371572,74
441.840976,19.68253847,74
493.3890056,21.51675528,74
526.5271349,23.2098754,74
578.075305,25.18518623,74
659.0793716,27.79541341,74
758.4936192,30.33509761,74
813.7237412,32.87478047,74
927.8659372,37.60141116,74
835.8158743,38.16578453,74
876.3179076,35.34391633,74
861.5898189,33.93298155,74
920.5020333,36.2610207,74
1053.05427,34.92063563,84
1086.192399,34.56790193,84
1115.648577,34.00352722,84
1111.966344,32.94532614,84
1060.418455,33.43915115,84
1008.870285,33.65079352,84
1053.05427,32.52204678,84
1008.870285,32.31040576,84
986.778292,30.89947098,84
1023.598373,31.4638457,84
953.6401627,29.91181557,84
905.7739446,28.64197481,84
857.9078669,27.01940036,84
806.3596969,25.67901125,84
773.221708,24.19753081,84
732.7195342,22.78659604,84
703.2634972,22.01058299,84
670.1255083,20.67019388,84
622.2592902,19.6119928,84
578.075305,18.55379172,84
563.3472163,17.42504229,84
522.845183,16.08465049,84
482.3430093,15.16754881,84
445.5229279,13.96824833,84
416.066891,12.55731356,84
382.9287616,11.0758385,84
342.4267283,9.382710318,84
294.5606507,7.971778237,84
254.0584769,6.631394508,84
235.6484362,5.36155106,84
243.0124806,4.867726042,84
342.4267283,4.091707612,84
386.610854,3.386240225,84
452.8869723,3.245148901,84
522.845183,3.104057576,84
592.8032533,3.245148901,84
699.5815453,3.315694563,84
850.5438226,3.315694563,84
784.2677043,3.174603239,84
894.7279483,3.174603239,84
983.0960592,3.315694563,84
1082.510447,3.668428256,84
1049.372318,3.033506532,84
1137.740569,3.104057576,84
1255.564717,3.104057576,84
1192.970691,3.245148901,84
1318.159024,3.597882594,84
1395.481139,3.315694563,84
1476.485205,3.033506532,84
1561.171505,3.668428256,84
1642.175571,3.809524963,84
1778.410041,3.738973918,84
1863.096059,4.021161949,84
1973.556303,3.880070625,84
2087.698499,3.880070625,84
2194.476791,3.950616287,84
2286.526994,3.880070625,84
2396.987238,4.091707612,84
2507.447482,3.950616287,84
2588.45183,3.950616287,84
2643.681952,4.091707612,84
2706.275978,4.30334998,84
2779.916141,4.232804318,84
2849.874351,4.232804318,84
2923.514514,4.232804318,84
2993.472725,4.232804318,84
3070.794839,4.232804318,84
3151.798906,4.232804318,84
3225.439068,4.30334998,84
3299.079231,4.444441305,84
3376.401627,4.373895643,84
3442.677885,4.585538011,84
3516.318048,4.585538011,84
3582.593745,4.585538011,84
3648.870004,4.514992349,84
3711.46403,4.514992349,84
3792.468658,4.514992349,84
3877.154396,4.656083674,84
3958.159024,4.867726042,84
4087.029309,4.938271705,84
4182.761183,4.938271705,84
4282.17529,4.867726042,84
4363.179919,5.079363029,84
1075.146263,31.81657939,84
1042.008414,30.9700153,84
990.460244,29.84126991,84
953.6401627,28.71252316,84
920.5020333,27.16049438,84
846.8618706,25.53791992,84
817.4058336,24.62081017,84
773.221708,22.99823572,84
706.9455897,23.49206343,84
644.3514233,21.86948898,84
703.2634972,21.44620693,84
589.1213013,20.03527216,84
618.5773383,18.7654314,84
662.761464,20.03527216,84
1145.104473,33.29805983,84
1104.60244,31.39329869,84
957.3221146,27.93650742,84
887.3639039,27.93650742,84
622.2592902,18.13051237,84
526.5271349,17.77777598,84
854.225915,26.38447864,84
544.9371756,17.00176294,84
486.0251017,16.3668439,84
497.071098,15.16754881,84
434.4769316,14.60317544,84
467.615061,14.67371572,84
467.615061,13.54497436,84
427.1128873,13.05114665,84
364.5187209,12.06349123,84
408.7028466,11.99294557,84
349.7907726,10.5820108,84
309.2885989,9.312170038,84
309.2885989,8.677242932,84
250.376525,7.336861895,84
250.376525,6.41975214,84
261.4225213,5.079363029,84
294.5606507,4.797174998,84
629.6233346,3.386240225,84
1516.987238,26.52557265,90
1435.983172,25.39682591,90
1424.937035,24.0564368,90
1354.979105,23.28042375,90
1281.338943,21.44620693,90
1222.426588,20.17636617,90
1108.284392,18.20105803,90
957.3221146,15.59082816,90
806.3596969,12.6278646,90
666.4434159,9.523809716,90
666.4434159,9.523809716,90
655.3974196,7.336861895,90
633.305427,6.560843464,90
857.9078669,6.41975214,90
780.5857523,6.631394508,90
994.1421959,7.054673864,90
1285.020895,6.984128202,90
1465.439349,7.477953219,90
1605.35549,7.971778237,90
1715.815734,8.32451193,90
1907.280325,8.253966268,90
2150.292806,7.830686912,90
2422.761464,7.830686912,90
2787.280044,8.395060283,90
3030.292806,8.536154299,90
3339.581545,8.677242932,90
3527.363623,8.959436345,90
3799.832562,9.664903732,90
4009.706913,9.453261363,90
3936.06675,11.21692983,90
4090.71098,10.93474449,90
3781.422521,12.20457986,90
3523.681952,13.12169231,90
3306.443135,13.61551464,90
3236.485205,13.75661403,90
3111.296872,14.88536078,90
2975.062684,15.59082816,90
2846.192399,16.64902924,90
2695.229841,17.70723032,90
2573.723741,18.62433739,90
2481.673538,19.18871345,90
2400.66919,19.68253847,90
2338.075165,20.10582051,90
2238.661057,21.30511561,90
2124.51858,22.01058299,90
2043.514514,22.99823572,90
1885.188052,23.91534278,90
1763.681952,24.97354386,90
1678.995653,25.89065362,90
1620.083579,26.24338731,90
1553.80732,21.94003464,90
876.3179076,9.523809716,90
876.3179076,9.523809716,90
1649.539756,10.01763742,90
2043.514514,10.79364509,90
2216.568784,10.51146244,90
2452.21736,11.0758385,90
2772.552237,11.21692983,90
2938.242603,11.28747818,90
3321.171505,10.72310481,90
3641.5061,11.14637878,90
3711.46403,10.4409114,90
3604.686019,9.171076023,90
3391.129434,9.029976625,90
3184.937035,8.888887992,90
3122.343009,8.81834233,90
2956.652643,9.029976625,90
2871.966344,9.029976625,90
2709.95793,8.677242932,90
2647.363904,8.677242932,90
2584.769597,8.677242932,90
2496.401627,8.536154299,90
2330.711261,8.677242932,90
2264.435002,8.536154299,90
2142.928621,8.747793976,90
2072.970691,8.395060283,90
2010.376385,19.32980477,90
920.5020333,12.06349123,90
1424.937035,14.88536078,90
802.6777449,9.312170038,90
1237.154677,10.93474449,90
1115.648577,7.76014125,90
1159.832562,7.125219526,90
1104.60244,12.20457986,90
1196.652643,14.88536078,90
1277.65671,17.70723032,90
1487.531342,19.25925911,90
1697.405693,20.52909987,90
1977.238255,21.79894062,90
1804.183985,19.47089879,90
1391.799187,9.523809716,90
1568.535409,12.55731356,90
1266.610854,13.12169231,90
1277.65671,8.888887992,90
1649.539756,13.26278094,90
1852.050203,13.54497436,90
1951.464311,13.8271597,90
2025.104473,14.81481511,90
2109.790773,15.44973415,90
2231.296872,14.74426676,90
2385.941383,14.17989339,90
2492.719394,14.46208142,90
2135.564717,12.69841295,90
1730.543823,10.4409114,90
1399.163091,11.99294557,90
1086.192399,9.947089071,90
1086.192399,9.947089071,90
1929.372318,17.70723032,90
1796.820081,16.3668439,90
1645.857523,17.21340261,90
1638.493619,14.88536078,90
2080.334595,16.15520153,90
2153.974758,17.63668466,90
2717.322115,13.68606568,90
2717.322115,13.68606568,90
2349.121301,17.42504229,90
1881.5061,11.0758385,90
2257.071098,12.76895862,90
2194.476791,18.27160369,90
2179.748702,19.6119928,90
2047.196466,17.77777598,90
1933.05427,12.76895862,90
1951.464311,10.79364509,90
1542.761464,10.0881777,90
1505.941383,10.4409114,90
1483.84939,14.67371572,90
1789.455897,11.85184617,90
1723.179919,14.39153307,90
2507.447482,16.79011788,90
2684.183985,15.59082816,90
2838.828214,14.17989339,90
2595.815734,11.78130589,90
2558.995653,13.75661403,90
2606.861871,14.88536078,90
2385.941383,11.56966352,90
2459.581545,9.594355378,90
3030.292806,12.6278646,90
3221.757116,12.13403958,90
2930.878418,10.51146244,90
3074.476791,11.00529015,90
2809.372318,11.71075754,90
2695.229841,10.4409114,90
2327.029028,16.79011788,90
1472.803253,16.93121727,90
1325.522928,16.15520153,90
1888.870285,14.60317544,90
1874.142196,15.44973415,90
1973.556303,15.80246784,90
